======================================================================
Training session started at 2026-09-05T19:15:05.207679
======================================================================
Loaded adversarial player checkpoint.
Loaded adversarial ghost checkpoint.
============================================================
Asymmetric Adv PPO | WU: 0 | Ratio: 5:1
U 0062 [GHOST TURN] | Ep 0112 | P_Rew: -816.4 | G_Rew:  448.8 | Win%:  59.1% | Die%:  96.0% | Loss(P/V): -0.005/13.785 | Ent: 1.361 | Time: 5671.8s
U 0063 [GHOST TURN] | Ep 0113 | P_Rew: -779.5 | G_Rew:  430.1 | Win%:  59.1% | Die%:  96.0% | Loss(P/V): -0.001/14.226 | Ent: 1.361 | Time: 5765.0s
U 0064 [GHOST TURN] | Ep 0115 | P_Rew: -630.7 | G_Rew:  356.2 | Win%:  58.3% | Die%:  96.0% | Loss(P/V): -0.004/14.926 | Ent: 1.356 | Time: 5857.9s
U 0065 [GHOST TURN] | Ep 0120 | P_Rew: -551.6 | G_Rew:  316.8 | Win%:  55.3% | Die%:  96.0% | Loss(P/V): -0.003/14.102 | Ent: 1.356 | Time: 5949.1s
U 0066 [GHOST TURN] | Ep 0121 | P_Rew: -393.5 | G_Rew:  239.0 | Win%:  55.0% | Die%:  98.0% | Loss(P/V): -0.001/13.994 | Ent: 1.351 | Time: 6043.7s
U 0067 [PLAYER TURN] | Ep 0121 | P_Rew: -393.5 | G_Rew:  239.0 | Win%:  55.0% | Die%:  98.0% | Loss(P/V): 0.012/24.184 | Ent: 0.367 | Time: 6138.4s
U 0068 [GHOST TURN] | Ep 0125 | P_Rew: -471.9 | G_Rew:  279.0 | Win%:  54.1% | Die%:  98.0% | Loss(P/V): -0.007/13.621 | Ent: 1.348 | Time: 6229.0s
U 0069 [GHOST TURN] | Ep 0129 | P_Rew: -493.3 | G_Rew:  289.0 | Win%:  55.4% | Die%:  98.0% | Loss(P/V): -0.003/17.050 | Ent: 1.356 | Time: 6319.4s
U 0070 [GHOST TURN] | Ep 0134 | P_Rew: -459.1 | G_Rew:  272.8 | Win%:  55.2% | Die%:  98.0% | Loss(P/V): -0.003/14.185 | Ent: 1.346 | Time: 6412.9s
U 0071 [GHOST TURN] | Ep 0135 | P_Rew: -455.2 | G_Rew:  270.8 | Win%:  55.4% | Die%:  98.0% | Loss(P/V): -0.003/13.397 | Ent: 1.354 | Time: 6508.3s
U 0072 [GHOST TURN] | Ep 0138 | P_Rew: -465.7 | G_Rew:  276.5 | Win%:  55.6% | Die%:  98.0% | Loss(P/V): -0.003/13.939 | Ent: 1.344 | Time: 6597.0s
U 0073 [PLAYER TURN] | Ep 0139 | P_Rew: -108.7 | G_Rew:   98.0 | Win%:  55.0% | Die%:  98.0% | Loss(P/V): 0.006/28.272 | Ent: 0.374 | Time: 6690.1s
U 0074 [GHOST TURN] | Ep 0139 | P_Rew: -108.7 | G_Rew:   98.0 | Win%:  55.0% | Die%:  98.0% | Loss(P/V): 0.007/9.018 | Ent: 1.327 | Time: 6780.0s
U 0075 [GHOST TURN] | Ep 0140 | P_Rew: -181.5 | G_Rew:  134.1 | Win%:  55.2% | Die%:  98.0% | Loss(P/V): -0.001/11.591 | Ent: 1.346 | Time: 6875.6s
U 0076 [GHOST TURN] | Ep 0141 | P_Rew: -287.5 | G_Rew:  187.0 | Win%:  56.2% | Die%:  98.0% | Loss(P/V): 0.002/10.018 | Ent: 1.341 | Time: 6970.1s
U 0077 [GHOST TURN] | Ep 0141 | P_Rew: -287.5 | G_Rew:  187.0 | Win%:  56.2% | Die%:  98.0% | Loss(P/V): -0.003/12.597 | Ent: 1.357 | Time: 7060.0s
U 0078 [GHOST TURN] | Ep 0141 | P_Rew: -287.5 | G_Rew:  187.0 | Win%:  56.2% | Die%:  98.0% | Loss(P/V): -0.001/7.154 | Ent: 1.358 | Time: 7150.4s
U 0079 [PLAYER TURN] | Ep 0141 | P_Rew: -287.5 | G_Rew:  187.0 | Win%:  56.2% | Die%:  98.0% | Loss(P/V): 0.027/12.664 | Ent: 0.567 | Time: 7240.9s
U 0080 [GHOST TURN] | Ep 0142 | P_Rew: -650.0 | G_Rew:  368.4 | Win%:  56.6% | Die%:  98.0% | Loss(P/V): -0.004/9.884 | Ent: 1.354 | Time: 7336.9s
U 0081 [GHOST TURN] | Ep 0145 | P_Rew: -678.2 | G_Rew:  382.7 | Win%:  57.0% | Die%:  98.0% | Loss(P/V): -0.005/12.582 | Ent: 1.347 | Time: 7425.7s
U 0082 [GHOST TURN] | Ep 0148 | P_Rew: -629.2 | G_Rew:  358.8 | Win%:  57.1% | Die%:  98.0% | Loss(P/V): -0.001/11.112 | Ent: 1.353 | Time: 7524.6s
U 0083 [GHOST TURN] | Ep 0149 | P_Rew: -628.2 | G_Rew:  358.1 | Win%:  58.3% | Die%:  98.0% | Loss(P/V): -0.008/11.627 | Ent: 1.364 | Time: 7623.9s
