Upd 135/20000 | Tot Ep: 176 | Avg Rwd:  106.0 | Avg Pellets: 105.3 (44.3%) | Max Pellets: 207 (84.8%) | Loss (P/V): -0.0001/1.7124 | Time: 580.0s (4.16s/upd)
Upd 140/20000 | Tot Ep: 183 | Avg Rwd:  106.3 | Avg Pellets: 105.3 (43.4%) | Max Pellets: 207 (84.8%) | Loss (P/V): 0.0001/3.6636 | Time: 600.3s (4.22s/upd)
Upd 145/20000 | Tot Ep: 189 | Avg Rwd:  102.9 | Avg Pellets: 104.7 (43.1%) | Max Pellets: 207 (84.8%) | Loss (P/V): -0.0000/1.6190 | Time: 623.7s (3.91s/upd)
Upd 150/20000 | Tot Ep: 196 | Avg Rwd:  100.2 | Avg Pellets: 104.0 (42.3%) | Max Pellets: 207 (84.8%) | Loss (P/V): -0.0000/2.1193 | Time: 646.1s (4.17s/upd)
Upd 155/20000 | Tot Ep: 203 | Avg Rwd:  107.2 | Avg Pellets: 105.0 (41.9%) | Max Pellets: 207 (84.8%) | Loss (P/V): 0.0001/2.3454 | Time: 666.3s (3.76s/upd)
Upd 160/20000 | Tot Ep: 209 | Avg Rwd:  108.3 | Avg Pellets: 105.1 (42.1%) | Max Pellets: 207 (84.8%) | Loss (P/V): 0.0000/3.4220 | Time: 688.0s (4.77s/upd)
Upd 165/20000 | Tot Ep: 216 | Avg Rwd:  101.2 | Avg Pellets: 104.2 (40.2%) | Max Pellets: 207 (84.8%) | Loss (P/V): 0.0002/1.7066 | Time: 715.2s (5.50s/upd)
Upd 170/20000 | Tot Ep: 222 | Avg Rwd:  105.5 | Avg Pellets: 104.8 (39.8%) | Max Pellets: 207 (84.8%) | Loss (P/V): -0.0000/2.0450 | Time: 738.4s (4.44s/upd)
Upd 175/20000 | Tot Ep: 229 | Avg Rwd:  102.8 | Avg Pellets: 104.5 (39.0%) | Max Pellets: 207 (84.8%) | Loss (P/V): 0.0002/1.7332 | Time: 760.7s (4.64s/upd)
Upd 180/20000 | Tot Ep: 235 | Avg Rwd:  107.1 | Avg Pellets: 105.1 (38.4%) | Max Pellets: 200 (81.0%) | Loss (P/V): 0.0000/2.8507 | Time: 784.9s (5.03s/upd)
Upd 185/20000 | Tot Ep: 242 | Avg Rwd:   98.5 | Avg Pellets: 103.7 (38.4%) | Max Pellets: 200 (81.0%) | Loss (P/V): -0.0001/1.4777 | Time: 807.0s (4.36s/upd)
Upd 190/20000 | Tot Ep: 248 | Avg Rwd:  112.7 | Avg Pellets: 105.7 (39.0%) | Max Pellets: 200 (81.0%) | Loss (P/V): -0.0000/2.2977 | Time: 828.9s (4.49s/upd)
Upd 195/20000 | Tot Ep: 255 | Avg Rwd:  109.5 | Avg Pellets: 105.2 (39.0%) | Max Pellets: 200 (71.3%) | Loss (P/V): -0.0001/2.2482 | Time: 848.1s (3.96s/upd)
Upd 200/20000 | Tot Ep: 262 | Avg Rwd:  103.7 | Avg Pellets: 104.3 (39.1%) | Max Pellets: 200 (71.3%) | Loss (P/V): 0.0001/2.0786 | Time: 870.9s (4.37s/upd)
Upd 205/20000 | Tot Ep: 268 | Avg Rwd:  116.2 | Avg Pellets: 106.2 (40.1%) | Max Pellets: 200 (71.3%) | Loss (P/V): 0.0000/1.9941 | Time: 894.3s (5.13s/upd)
Upd 210/20000 | Tot Ep: 275 | Avg Rwd:  126.0 | Avg Pellets: 107.6 (40.6%) | Max Pellets: 200 (71.3%) | Loss (P/V): 0.0002/2.8447 | Time: 917.5s (5.11s/upd)
Upd 215/20000 | Tot Ep: 281 | Avg Rwd:  112.6 | Avg Pellets: 105.7 (39.6%) | Max Pellets: 200 (71.3%) | Loss (P/V): -0.0002/1.6572 | Time: 939.0s (3.65s/upd)
Upd 220/20000 | Tot Ep: 288 | Avg Rwd:  128.0 | Avg Pellets: 107.9 (40.0%) | Max Pellets: 200 (71.3%) | Loss (P/V): 0.0000/1.6776 | Time: 964.6s (6.42s/upd)
Upd 225/20000 | Tot Ep: 294 | Avg Rwd:  131.0 | Avg Pellets: 108.4 (40.7%) | Max Pellets: 200 (83.5%) | Loss (P/V): -0.0000/1.3759 | Time: 989.2s (4.16s/upd)
Upd 230/20000 | Tot Ep: 301 | Avg Rwd:  133.8 | Avg Pellets: 108.9 (40.7%) | Max Pellets: 200 (83.5%) | Loss (P/V): 0.0001/2.3094 | Time: 1011.0s (3.86s/upd)
Upd 235/20000 | Tot Ep: 307 | Avg Rwd:  131.1 | Avg Pellets: 108.5 (40.9%) | Max Pellets: 200 (83.5%) | Loss (P/V): -0.0000/1.3644 | Time: 1031.8s (3.99s/upd)
Upd 240/20000 | Tot Ep: 314 | Avg Rwd:  128.6 | Avg Pellets: 108.0 (41.6%) | Max Pellets: 200 (83.5%) | Loss (P/V): 0.0000/2.9361 | Time: 1050.2s (3.89s/upd)
Upd 245/20000 | Tot Ep: 320 | Avg Rwd:  120.2 | Avg Pellets: 106.6 (42.2%) | Max Pellets: 186 (83.5%) | Loss (P/V): -0.0001/1.4831 | Time: 1069.9s (4.53s/upd)
Upd 250/20000 | Tot Ep: 327 | Avg Rwd:  130.0 | Avg Pellets: 108.0 (41.9%) | Max Pellets: 186 (83.5%) | Loss (P/V): -0.0000/1.5420 | Time: 1094.1s (5.10s/upd)
Upd 255/20000 | Tot Ep: 334 | Avg Rwd:  135.9 | Avg Pellets: 108.8 (43.3%) | Max Pellets: 186 (84.7%) | Loss (P/V): 0.0002/3.1461 | Time: 1117.4s (4.56s/upd)
Upd 260/20000 | Tot Ep: 340 | Avg Rwd:  132.9 | Avg Pellets: 108.3 (43.4%) | Max Pellets: 186 (84.7%) | Loss (P/V): 0.0001/2.0347 | Time: 1137.8s (3.83s/upd)
Upd 265/20000 | Tot Ep: 347 | Avg Rwd:  139.2 | Avg Pellets: 109.3 (43.0%) | Max Pellets: 186 (84.7%) | Loss (P/V): 0.0001/2.0652 | Time: 1157.7s (3.87s/upd)
